广东省茂名市酒店 移动,#genre#
珠江台,http://183.234.143.5:85/tsfile/live/1074_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://183.234.143.5:85/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
广东新闻,http://183.234.143.5:85/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
南方卫视,http://183.234.143.5:85/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
广东影视,http://183.234.143.5:85/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
岭南戏曲,http://183.234.143.5:85/tsfile/live/1071_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育 高清,http://183.234.143.5:85/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
广东经济科教 高清,http://183.234.143.5:85/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
翡翠台,http://183.234.143.5:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1-综合,http://183.234.143.5:85/tsfile/live/0001_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://183.234.143.5:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+体育赛事,http://183.234.143.5:85/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7-军农,http://183.234.143.5:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9-纪录,http://183.234.143.5:85/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10-科教,http://183.234.143.5:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-社会与法,http://183.234.143.5:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-少儿,http://183.234.143.5:85/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视 高清,http://183.234.143.5:85/tsfile/live/1046_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视 高清,http://183.234.143.5:85/tsfile/live/1047_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视 高清,http://183.234.143.5:85/tsfile/live/1048_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视 高清,http://183.234.143.5:85/tsfile/live/1049_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视 高清,http://183.234.143.5:85/tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视 高清,http://183.234.143.5:85/tsfile/live/1051_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视 高清,http://183.234.143.5:85/tsfile/live/1052_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视 高清,http://183.234.143.5:85/tsfile/live/1053_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视 高清,http://183.234.143.5:85/tsfile/live/1054_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视 高清,http://183.234.143.5:85/tsfile/live/1055_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视 高清,http://183.234.143.5:85/tsfile/live/1057_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视 高清,http://183.234.143.5:85/tsfile/live/1058_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视 高清,http://183.234.143.5:85/tsfile/live/1059_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视 高清,http://183.234.143.5:85/tsfile/live/1060_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV老故事 高清,http://183.234.143.5:85/tsfile/live/1061_1.m3u8?key=txiptv&playlive=1&authid=0
广东民生,http://183.234.143.5:85/tsfile/live/1062_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://183.234.143.5:85/tsfile/live/1063_1.m3u8?key=txiptv&playlive=1&authid=0
广东经济科教,http://183.234.143.5:85/tsfile/live/1065_1.m3u8?key=txiptv&playlive=1&authid=0
广东少儿,http://183.234.143.5:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
嘉佳卡通,http://183.234.143.5:85/tsfile/live/1069_1.m3u8?key=txiptv&playlive=1&authid=0
南方购物,http://183.234.143.5:85/tsfile/live/1070_1.m3u8?key=txiptv&playlive=1&authid=0
广东移动,http://183.234.143.5:85/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
