央视,#genre#
CCTV1综合,http://free.cnlive.club/channel/47cdbb52/index.m3u8?q=36.44.99.42
CCTV2财经,http://free.cnlive.club/channel/47d01112/index.m3u8?q=36.44.99.42
CCTV3综艺,http://free.cnlive.club/channel/47ced282/index.m3u8?q=36.44.99.42
CCTV4中文国际,http://free.cnlive.club/channel/7a879c85/index.m3u8?q=36.44.99.42
CCTV5体育,http://free.cnlive.club/channel/47c9f401/index.m3u8?q=36.44.99.42
CCTV6电影,http://free.cnlive.club/channel/47cedd7d/index.m3u8?q=36.44.99.42
CCTV7国防军事,http://free.cnlive.club/channel/n7ba2911b/index.m3u8?q=36.44.99.42
CCTV8电视剧,http://free.cnlive.club/channel/n4dd18c29/index.m3u8?q=36.44.99.42
CCTV9记录,http://free.cnlive.club/channel/47d2f363/index.m3u8?q=36.44.99.42
CCTV10科教,http://free.cnlive.club/channel/n4fe64a4e/index.m3u8?q=36.44.99.42
CCTV11戏曲,http://free.cnlive.club/channel/n4fe8b4d4/index.m3u8?q=36.44.99.42
CCTV12社会与法,http://free.cnlive.club/channel/13604deb/index.m3u8?q=36.44.99.42
CCTV13新闻,http://free.cnlive.club/channel/n4fe72c8e/index.m3u8?q=36.44.99.42
CCTV14少儿,http://free.cnlive.club/channel/n4fe8272c/index.m3u8?q=36.44.99.42
CCTV15音乐,http://free.cnlive.club/channel/n4fe0755e/index.m3u8?q=36.44.99.42
CCTV16奥林匹克,http://free.cnlive.club/channel/c15fcc8/index.m3u8?q=36.44.99.42
CCTV17农业农村,http://free.cnlive.club/channel/9e11396/index.m3u8?q=36.44.99.42
CCTV5+体育赛事,http://free.cnlive.club/channel/n374503fe/index.m3u8?q=36.44.99.42
卫视,#genre#
湖南卫视,http://free.cnlive.club/channel/6a402f50/index.m3u8?q=36.44.99.42
浙江卫视,http://free.cnlive.club/channel/6a2b2475/index.m3u8?q=36.44.99.42
江苏卫视,http://free.cnlive.club/channel/6a0dba1f/index.m3u8?q=36.44.99.42
东方卫视,http://free.cnlive.club/channel/5bdef3ac/index.m3u8?q=36.44.99.42
北京卫视,http://free.cnlive.club/channel/5dcc0104/index.m3u8?q=36.44.99.42
深圳卫视,http://free.cnlive.club/channel/6a20c2b1/index.m3u8?q=36.44.99.42
广东卫视,http://free.cnlive.club/channel/62f9400c/index.m3u8?q=36.44.99.42
大湾区卫视,http://free.cnlive.club/channel/n406d2eb6/index.m3u8?q=36.44.99.42
珠江台,http://free.cnlive.club/channel/n7017ab43/index.m3u8?q=36.44.99.42
东南卫视,http://free.cnlive.club/channel/5b99f1ca/index.m3u8?q=36.44.99.42
广西卫视,http://free.cnlive.club/channel/63d82eaf/index.m3u8?q=36.44.99.42
湖北卫视,http://free.cnlive.club/channel/6a3f3f10/index.m3u8?q=36.44.99.42
四川卫视,http://free.cnlive.club/channel/5fbb3db1/index.m3u8?q=36.44.99.42
CGTN,http://free.cnlive.club/channel/36f451f2/index.m3u8?q=36.44.99.42
香港,#genre#
凤凰中文,http://free.cnlive.club/channel/n496e6eec/index.m3u8?q=36.44.99.42
凤凰资讯,http://free.cnlive.club/channel/n4966a4fb/index.m3u8?q=36.44.99.42
凤凰香港,http://free.cnlive.club/channel/n49654430/index.m3u8?q=36.44.99.42
翡翠台,http://free.cnlive.club/channel/n7549189d/index.m3u8?q=36.44.99.42
明珠台,http://free.cnlive.club/channel/n75ab7db0/index.m3u8?q=36.44.99.42
