央视频道,#genre#
CCTV8K,video://https://www.nettvpro.xyz/cctv/10129.html
CCTV中视购物,video://https://www.nettvpro.xyz/cctv/5717.html
CCTV4K超高清,video://https://www.nettvpro.xyz/cctv/5406.html
CCTV17农业农村,video://https://www.nettvpro.xyz/cctv/6409.html
CCTV13新闻,video://https://www.nettvpro.xyz/cctv/cctv13.html
CCTV12社会与法,video://https://www.nettvpro.xyz/cctv/cctv12.html
CCTV9纪录,video://https://www.nettvpro.xyz/cctv/cctv9.html
CCTV7国防军事,video://https://www.nettvpro.xyz/cctv/cctv7.html
CCTV4中文国际,video://https://www.nettvpro.xyz/cctv/cctv4.html
CCTV2财经,video://https://www.nettvpro.xyz/cctv/cctv2.html
CCTV1综合,video://https://www.nettvpro.xyz/cctv/cctv1.html
CCTV10科教,video://https://www.nettvpro.xyz/cctv/cctv10.html
CCTV5体育,video://https://www.nettvpro.xyz/cctv/cctv5.html
CCTV14少儿,video://https://www.nettvpro.xyz/cctv/cctv14.html
CCTV5+体育赛事,video://https://www.nettvpro.xyz/cctv/cctv5ss.html
CCTV4中文国际美洲,video://https://www.nettvpro.xyz/cctv/cctv4america.html
CCTV6电影,video://https://www.nettvpro.xyz/cctv/cctv6.html
M1905电影频道,video://https://www.nettvpro.xyz/cctv/11607.html
CCTV16奥林匹克,video://https://www.nettvpro.xyz/cctv/6418.html
CCTV15音乐,video://https://www.nettvpro.xyz/cctv/cctv15.html
CCTV11戏曲,video://https://www.nettvpro.xyz/cctv/cctv11.html
CCTV8电视剧,video://https://www.nettvpro.xyz/cctv/cctv8.html
CCTV3综艺,video://https://www.nettvpro.xyz/cctv/cctv3.html
书画频道,video://https://www.nettvpro.xyz/cctv/cCTVshuhua.html
CCTV4中文国际欧洲,video://https://www.nettvpro.xyz/cctv/cctveurope.html
央广购物频道,video://https://www.nettvpro.xyz/cctv/cnrmall.html
CCTV央视文化精品,video://https://www.nettvpro.xyz/cctv/218.html
CCTV女性时尚,video://https://www.nettvpro.xyz/cctv/219.html
CCTV电视指南,video://https://www.nettvpro.xyz/cctv/220.html
CCTV兵器科技,video://https://www.nettvpro.xyz/cctv/cCTVbqkj.html
CCTV风云足球,video://https://www.nettvpro.xyz/cctv/cCTVfyzq.html
CCTV第一剧场,video://https://www.nettvpro.xyz/cctv/1379.html
CCTV怀旧剧场,video://https://www.nettvpro.xyz/cctv/1380.html
CCTV世界地理,video://https://www.nettvpro.xyz/cctv/1381.html
CCTV卫生健康,video://https://www.nettvpro.xyz/cctv/1452.html
CCTV高尔夫网球,video://https://www.nettvpro.xyz/cctv/cctvgefwq.html
CCTV风云剧场,video://https://www.nettvpro.xyz/cctv/3381.html
CCTV风云音乐,video://https://www.nettvpro.xyz/cctv/3382.html
CCTV高清综艺娱乐,video://https://www.nettvpro.xyz/cctv/10885.html
中央新影-老故事,video://https://www.nettvpro.xyz/cctv/963.html
央视新闻新媒体,video://https://www.nettvpro.xyz/cctv/2409.html
中央新影-中学生,video://https://www.nettvpro.xyz/cctv/985.html
CCTV央视台球,video://https://www.nettvpro.xyz/cctv/4808.html
环球奇观,video://https://www.nettvpro.xyz/cctv/4565.html
中央新影-发现之旅,video://https://www.nettvpro.xyz/cctv/1378.html
CCTV娱乐,video://https://www.nettvpro.xyz/cctv/4734.html
CCTV戏曲,video://https://www.nettvpro.xyz/cctv/14.html
国联广播电视,video://https://www.nettvpro.xyz/cctv/6648.html
CCTV西部旅游,video://https://www.nettvpro.xyz/cctv/1447.html
CCTV移动传媒,video://https://www.nettvpro.xyz/cctv/6518.html
CCTV移动传媒-列车,video://https://www.nettvpro.xyz/cctv/7123.html
CCTV移动传媒-快客,video://https://www.nettvpro.xyz/cctv/7125.html
CCTV移动传媒-楼宇,video://https://www.nettvpro.xyz/cctv/7126.html
CCTV移动传媒-饭店,video://https://www.nettvpro.xyz/cctv/7127.html
CCTV移动传媒-广场,video://https://www.nettvpro.xyz/cctv/7128.html
CCTV移动传媒-地铁,video://https://www.nettvpro.xyz/cctv/7124.html
CCTV中国微电影,video://https://www.nettvpro.xyz/cctv/cctvwdy.html
CCTV大众生活,video://https://www.nettvpro.xyz/cctv/1448.html
CCTV大富,video://https://www.nettvpro.xyz/cctv/cctvdf.html
CCTV手机电视,video://https://www.nettvpro.xyz/cctv/4823.html
CCTV移动传媒-民航,video://https://www.nettvpro.xyz/cctv/7129.html
CCTV移动传媒-公交,video://https://www.nettvpro.xyz/cctv/7130.html

香港频道,#genre#
Channel [V],video://https://www.nettvpro.xyz/hongkong/3820.html
STAR Movies,video://https://www.nettvpro.xyz/hongkong/4830.html
黃金華劇台,video://https://www.nettvpro.xyz/hongkong/12982.html
TVB1,video://https://www.nettvpro.xyz/hongkong/12980.html
HOY TV,video://https://www.nettvpro.xyz/hongkong/3084.html
香港衛視,video://https://www.nettvpro.xyz/hongkong/hks.html
香港衛視文旅臺,video://https://www.nettvpro.xyz/hongkong/10984.html
亞太第一衛視綜合,video://https://www.nettvpro.xyz/hongkong/onetv.html
鳳凰衛視美洲台,video://https://www.nettvpro.xyz/hongkong/3601.html
